(29911, 13244)
(29910, 13245)
(26223, 13426)
(44297, 13426)
(106263, 13426)
(78589, 13499)
(129659, 13499)
(184985, 13499)
(78588, 13500)
(184984, 13500)
(184983, 13501)
(87217, 13555)
(62462, 13758)
(62461, 13759)
(62460, 13760)
(152665, 13788)
(152666, 13789)
(152667, 13790)
(113334, 13791)
(134537, 13791)
(152668, 13791)
(134538, 13792)
(152669, 13792)
(104869, 13938)
(128335, 13938)
(193622, 13938)
(126273, 14027)
(23710, 14028)
(126274, 14028)
(23711, 14029)
(23712, 14030)
(72219, 14157)
(112007, 14157)
(127756, 14157)
(127755, 14158)
(127754, 14159)
(113767, 14169)
(68568, 14200)
(176908, 14471)
(176909, 14472)
(132621, 14753)
(174652, 14753)
(76228, 14754)
(132622, 14754)
(174653, 14754)
(113334, 14890)
(134537, 14890)
(152668, 14890)
(53731, 15084)
(71942, 15084)
(147738, 15084)
(2401, 15220)
(2400, 15221)
(146943, 15221)
(199931, 15221)
(2399, 15222)
(74949, 15538)
(9249, 15539)
(74950, 15539)
(53731, 16104)
(71942, 16104)
(147738, 16104)
(77039, 16495)
(105595, 16495)
(151272, 16495)
(151271, 16496)
(104869, 16569)
(128335, 16569)
(193622, 16569)
(156472, 17124)
(75990, 17125)
(105990, 17125)
(156473, 17125)
(75991, 17126)
(105991, 17126)
(156474, 17126)
(105992, 17127)
(122499, 17767)
(122545, 17767)
(146564, 17767)
(122498, 17768)
(122544, 17768)
(122497, 17769)
(122543, 17769)
(6169, 17995)
(106820, 17995)
(6168, 17996)
(58719, 17996)
(106819, 17996)
(6167, 17997)
(63731, 18067)
(133476, 18067)
(136708, 18125)
(29913, 18126)
(78948, 18126)
(136709, 18126)
(136710, 18127)
(136711, 18128)
(11470, 18226)
(11471, 18227)
(11472, 18228)
(132982, 18228)
(122547, 18443)
(122546, 18444)
(122499, 18445)
(122545, 18445)
(146564, 18445)
(122498, 18446)
(122544, 18446)
(122497, 18447)
(122543, 18447)
(90409, 18522)
(6978, 18956)
(105702, 18956)
(134789, 18988)
(39217, 18989)
(134788, 18989)
(53917, 19020)
(158937, 19020)
(136311, 19251)
(37403, 19252)
(136310, 19252)
(136309, 19253)
(26223, 19500)
(44297, 19500)
(106263, 19500)
(44298, 19501)
(44299, 19502)
(54356, 20483)
(54355, 20484)
(113335, 20797)
(113334, 20798)
(134537, 20798)
(152668, 20798)
(152667, 20799)
